#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.07388  0.125341  0.006139 -0.000254    20.417
   0.00657  0.99362  0.00158  1.07378  0.122376  0.006154 -0.000993    19.886
   0.01775  0.98287  0.00461  1.07382  0.119372  0.006155 -0.000994    19.395
   0.03048  0.97065  0.00819  1.07386  0.116020  0.006155 -0.000995    18.850
   0.04450  0.95717  0.01206  1.07393  0.112453  0.006153 -0.000997    18.276
   0.05939  0.94280  0.01598  1.07402  0.108856  0.006149 -0.000999    17.704
   0.07503  0.92766  0.01987  1.07415  0.105286  0.006141 -0.001002    17.144
   0.09137  0.91179  0.02377  1.07431  0.101705  0.006131 -0.001005    16.589
   0.10823  0.89539  0.02770  1.07450  0.098069  0.006119 -0.001009    16.027
   0.12539  0.87868  0.03163  1.07470  0.094387  0.006106 -0.001014    15.458
   0.14271  0.86182  0.03553  1.07492  0.090682  0.006092 -0.001019    14.886
   0.16010  0.84486  0.03939  1.07517  0.086971  0.006076 -0.001024    14.313
   0.17753  0.82785  0.04321  1.07544  0.083257  0.006060 -0.001031    13.739
   0.19500  0.81079  0.04697  1.07574  0.079542  0.006042 -0.001037    13.165
   0.21246  0.79373  0.05068  1.07606  0.075829  0.006022 -0.001045    12.592
   0.22986  0.77671  0.05432  1.07643  0.072136  0.006001 -0.001053    12.021
   0.24719  0.75975  0.05788  1.07684  0.068480  0.005978 -0.001063    11.456
   0.26445  0.74285  0.06134  1.07730  0.064866  0.005952 -0.001074    10.899
   0.28161  0.72602  0.06469  1.07783  0.061318  0.005923 -0.001086    10.352
   0.29868  0.70926  0.06793  1.07843  0.057848  0.005891 -0.001100     9.819
   0.31571  0.69251  0.07104  1.07913  0.054468  0.005855 -0.001117     9.302
   0.33273  0.67576  0.07404  1.07994  0.051165  0.005815 -0.001136     8.798
   0.34973  0.65900  0.07692  1.08088  0.047947  0.005771 -0.001158     8.309
   0.36669  0.64227  0.07969  1.08197  0.044825  0.005721 -0.001185     7.835
   0.38360  0.62557  0.08232  1.08323  0.041805  0.005665 -0.001216     7.379
   0.40046  0.60889  0.08481  1.08471  0.038900  0.005604 -0.001254     6.941
   0.41731  0.59221  0.08718  1.08643  0.036114  0.005536 -0.001298     6.523
   0.43416  0.57551  0.08941  1.08845  0.033434  0.005461 -0.001351     6.123
   0.45099  0.55881  0.09151  1.09081  0.030877  0.005377 -0.001408     5.742
   0.46775  0.54216  0.09347  1.09356  0.028440  0.005286 -0.001448     5.380
   0.48443  0.52558  0.09527  1.09676  0.026149  0.005186 -0.001456     5.043
   0.50105  0.50904  0.09691  1.10046  0.024008  0.005076 -0.001391     4.729
   0.51765  0.49251  0.09839  1.10472  0.022016  0.004958 -0.001205     4.441
   0.53423  0.47598  0.09970  1.10952  0.020169  0.004831 -0.000855     4.175
   0.55077  0.45948  0.10085  1.11482  0.018469  0.004698 -0.000308     3.932
   0.56725  0.44303  0.10183  1.12072  0.016908  0.004555  0.000453     3.712
   0.58365  0.42665  0.10264  1.12722  0.015496  0.004404  0.001417     3.519
   0.59998  0.41033  0.10325  1.13425  0.014230  0.004245  0.002561     3.352
   0.61629  0.39403  0.10367  1.14167  0.013096  0.004082  0.003867     3.208
   0.63255  0.37777  0.10390  1.14929  0.012084  0.003917  0.005308     3.085
   0.64874  0.36157  0.10393  1.15691  0.011177  0.003752  0.006883     2.979
