#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.08127  0.121283  0.002300 -0.000257    52.727
   0.00668  0.99360  0.00192  1.08106  0.117785  0.002326 -0.000647    50.640
   0.01807  0.98272  0.00530  1.08098  0.114614  0.002338 -0.000643    49.022
   0.03106  0.97032  0.00914  1.08090  0.111172  0.002350 -0.000640    47.304
   0.04516  0.95680  0.01317  1.08083  0.107653  0.002361 -0.000638    45.590
   0.06006  0.94246  0.01720  1.08078  0.104154  0.002371 -0.000635    43.929
   0.07565  0.92739  0.02118  1.08074  0.100699  0.002379 -0.000633    42.326
   0.09186  0.91167  0.02516  1.08071  0.097242  0.002386 -0.000632    40.748
   0.10852  0.89549  0.02915  1.08068  0.093735  0.002394 -0.000630    39.158
   0.12544  0.87905  0.03313  1.08064  0.090187  0.002401 -0.000629    37.555
   0.14250  0.86245  0.03708  1.08060  0.086612  0.002410 -0.000627    35.945
   0.15964  0.84577  0.04099  1.08055  0.083019  0.002418 -0.000625    34.332
   0.17681  0.82904  0.04484  1.08050  0.079412  0.002427 -0.000624    32.718
   0.19398  0.81229  0.04864  1.08043  0.075800  0.002437 -0.000622    31.108
   0.21115  0.79553  0.05238  1.08036  0.072186  0.002446 -0.000620    29.507
   0.22833  0.77875  0.05606  1.08028  0.068569  0.002457 -0.000618    27.913
   0.24546  0.76200  0.05967  1.08019  0.064951  0.002467 -0.000617    26.328
   0.26249  0.74535  0.06319  1.08010  0.061366  0.002477 -0.000615    24.769
   0.27941  0.72877  0.06660  1.08000  0.057836  0.002488 -0.000614    23.250
   0.29629  0.71222  0.06990  1.07991  0.054362  0.002497 -0.000613    21.769
   0.31313  0.69568  0.07308  1.07983  0.050947  0.002506 -0.000612    20.329
   0.32994  0.67915  0.07616  1.07976  0.047599  0.002514 -0.000612    18.933
   0.34670  0.66266  0.07911  1.07970  0.044325  0.002521 -0.000613    17.583
   0.36339  0.64620  0.08193  1.07968  0.041135  0.002526 -0.000614    16.282
   0.38005  0.62976  0.08462  1.07970  0.038046  0.002530 -0.000616    15.038
   0.39672  0.61329  0.08718  1.07978  0.035052  0.002531 -0.000619    13.847
   0.41338  0.59681  0.08962  1.07993  0.032148  0.002530 -0.000623    12.705
   0.42997  0.58038  0.09191  1.08018  0.029347  0.002526 -0.000630    11.616
   0.44649  0.56400  0.09406  1.08057  0.026679  0.002519 -0.000638    10.591
   0.46301  0.54760  0.09605  1.08114  0.024147  0.002508 -0.000650     9.630
   0.47954  0.53117  0.09790  1.08195  0.021732  0.002491 -0.000665     8.723
   0.49603  0.51477  0.09961  1.08305  0.019445  0.002470 -0.000686     7.872
   0.51242  0.49845  0.10115  1.08455  0.017315  0.002443 -0.000714     7.088
   0.52875  0.48218  0.10252  1.08657  0.015361  0.002409 -0.000753     6.378
   0.54509  0.46588  0.10371  1.08924  0.013567  0.002367 -0.000799     5.733
   0.56144  0.44957  0.10475  1.09274  0.011939  0.002316 -0.000820     5.154
   0.57774  0.43329  0.10561  1.09721  0.010477  0.002257 -0.000751     4.641
   0.59394  0.41711  0.10630  1.10271  0.009184  0.002190 -0.000486     4.193
   0.61007  0.40098  0.10679  1.10913  0.008094  0.002117  0.000015     3.824
   0.62617  0.38489  0.10708  1.11665  0.007162  0.002035  0.000758     3.519
   0.64227  0.36879  0.10718  1.12510  0.006389  0.001946  0.001668     3.283
   0.65836  0.35270  0.10708  1.13407  0.005736  0.001854  0.002721     3.093
   0.67432  0.33674  0.10680  1.14302  0.005181  0.001763  0.003895     2.939
   0.69010  0.32097  0.10629  1.15130  0.004723  0.001675  0.005109     2.819
   0.70583  0.30526  0.10554  1.15797  0.004385  0.001597  0.006097     2.745
   0.72167  0.28945  0.10454  1.16343  0.004106  0.001524  0.006971     2.694
